HSE_Region,date,weekly_mean_rain,weekly_sum_rain,Cryptosporidiosis,Giardiasis,Salmonellosis,Shigellosis,Verotoxigenic Escherichia coli infection,rain_mean_lag1,rain_sum_lag1,rain_mean_lag2,rain_sum_lag2,rain_mean_lag3,rain_sum_lag3,rain_mean_lag4,rain_sum_lag4,sin_month,cos_month,time,temperature,soil_moisture,et0,radiation,temp_lag1,temp_lag2,temp_lag3,temp_lag4,soil_lag1,soil_lag2,soil_lag3,soil_lag4,et0_lag1,et0_lag2,et0_lag3,et0_lag4,rad_lag1,rad_lag2,rad_lag3,rad_lag4
HSE Dublin and Midlands,2021-05-31,1.654747030220964,11.583229211546747,1.0,0.0,0.0,0.0,4.0,6.458078414476518,45.20654890133563,2.70481627377362,18.93371391641534,3.8771880962639256,27.14031667384748,2.578649904597772,18.050549332184403,0.4999999999999999,-0.8660254037844387,2021-05-28 11:30:00,12.554166666666665,0.38445833333333335,2.9528571428571433,18.43285714285714,12.554166666666665,12.554166666666665,12.554166666666665,12.554166666666665,0.38445833333333335,0.38445833333333335,0.38445833333333335,0.38445833333333335,2.9528571428571433,2.9528571428571433,2.9528571428571433,2.9528571428571433,18.43285714285714,18.43285714285714,18.43285714285714,18.43285714285714
HSE Dublin and Midlands,2021-06-07,0.4669031205761063,3.2683218440327444,4.0,0.0,0.0,0.0,3.0,1.654747030220964,11.583229211546747,6.458078414476518,45.20654890133563,2.70481627377362,18.93371391641534,3.8771880962639256,27.14031667384748,1.2246467991473532e-16,-1.0,2021-06-04 11:30:00,14.280357142857143,0.3291071428571429,3.301428571428571,20.189999999999998,12.554166666666665,12.554166666666665,12.554166666666665,12.554166666666665,0.38445833333333335,0.38445833333333335,0.38445833333333335,0.38445833333333335,2.9528571428571433,2.9528571428571433,2.9528571428571433,2.9528571428571433,18.43285714285714,18.43285714285714,18.43285714285714,18.43285714285714
HSE Dublin and Midlands,2021-06-14,0.1753262140702899,1.2272834984920291,1.0,0.0,0.0,0.0,2.0,0.4669031205761063,3.2683218440327444,1.654747030220964,11.583229211546747,6.458078414476518,45.20654890133563,2.70481627377362,18.93371391641534,1.2246467991473532e-16,-1.0,2021-06-11 11:30:00,16.13511904761905,0.2992202380952381,3.012857142857143,17.638571428571428,14.280357142857143,12.554166666666665,12.554166666666665,12.554166666666665,0.3291071428571429,0.38445833333333335,0.38445833333333335,0.38445833333333335,3.301428571428571,2.9528571428571433,2.9528571428571433,2.9528571428571433,20.189999999999998,18.43285714285714,18.43285714285714,18.43285714285714
HSE Dublin and Midlands,2021-06-21,0.4627777435834307,3.239444205084016,0.0,1.0,1.0,0.0,0.0,0.1753262140702899,1.2272834984920291,0.4669031205761063,3.2683218440327444,1.654747030220964,11.583229211546747,6.458078414476518,45.20654890133563,1.2246467991473532e-16,-1.0,2021-06-18 11:30:00,13.616071428571429,0.2729047619047619,3.5500000000000003,22.111428571428572,16.13511904761905,14.280357142857143,12.554166666666665,12.554166666666665,0.2992202380952381,0.3291071428571429,0.38445833333333335,0.38445833333333335,3.012857142857143,3.301428571428571,2.9528571428571433,2.9528571428571433,17.638571428571428,20.189999999999998,18.43285714285714,18.43285714285714
HSE Dublin and Midlands,2021-06-28,1.397904228472949,9.785329599310645,0.0,0.0,0.0,0.0,12.0,0.4627777435834307,3.239444205084016,0.1753262140702899,1.2272834984920291,0.4669031205761063,3.2683218440327444,1.654747030220964,11.583229211546747,1.2246467991473532e-16,-1.0,2021-06-25 11:30:00,13.101190476190478,0.3298452380952381,2.3985714285714286,15.070000000000002,13.616071428571429,16.13511904761905,14.280357142857143,12.554166666666665,0.2729047619047619,0.2992202380952381,0.3291071428571429,0.38445833333333335,3.5500000000000003,3.012857142857143,3.301428571428571,2.9528571428571433,22.111428571428572,17.638571428571428,20.189999999999998,18.43285714285714
HSE Dublin and Midlands,2021-07-05,4.296716316858497,30.07701421800948,2.0,0.0,1.0,0.0,4.0,1.397904228472949,9.785329599310645,0.4627777435834307,3.239444205084016,0.1753262140702899,1.2272834984920291,0.4669031205761063,3.2683218440327444,-0.4999999999999997,-0.8660254037844388,2021-07-02 11:30:00,15.498809523809525,0.3256428571428572,3.274285714285714,19.99285714285714,13.101190476190478,13.616071428571429,16.13511904761905,14.280357142857143,0.3298452380952381,0.2729047619047619,0.2992202380952381,0.3291071428571429,2.3985714285714286,3.5500000000000003,3.012857142857143,3.301428571428571,15.070000000000002,22.111428571428572,17.638571428571428,20.189999999999998
HSE Dublin and Midlands,2021-07-12,3.296608604665477,23.07626023265834,3.0,1.0,0.0,0.0,2.0,4.296716316858497,30.07701421800948,1.397904228472949,9.785329599310645,0.4627777435834307,3.239444205084016,0.1753262140702899,1.2272834984920291,-0.4999999999999997,-0.8660254037844388,2021-07-09 11:30:00,15.349999999999998,0.35010714285714284,2.275714285714286,13.231428571428571,15.498809523809525,13.101190476190478,13.616071428571429,16.13511904761905,0.3256428571428572,0.3298452380952381,0.2729047619047619,0.2992202380952381,3.274285714285714,2.3985714285714286,3.5500000000000003,3.012857142857143,19.99285714285714,15.070000000000002,22.111428571428572,17.638571428571428
HSE Dublin and Midlands,2021-07-19,0.0219240475164645,0.153468332615252,1.0,1.0,0.0,0.0,3.0,3.296608604665477,23.07626023265834,4.296716316858497,30.07701421800948,1.397904228472949,9.785329599310645,0.4627777435834307,3.239444205084016,-0.4999999999999997,-0.8660254037844388,2021-07-16 11:30:00,19.032738095238095,0.3203690476190476,4.008571428571429,22.657142857142855,15.349999999999998,15.498809523809525,13.101190476190478,13.616071428571429,0.35010714285714284,0.3256428571428572,0.3298452380952381,0.2729047619047619,2.275714285714286,3.274285714285714,2.3985714285714286,3.5500000000000003,13.231428571428571,19.99285714285714,15.070000000000002,22.111428571428572
HSE Dublin and Midlands,2021-07-26,0.6215085862005293,4.350560103403705,1.0,0.0,0.0,0.0,4.0,0.0219240475164645,0.153468332615252,3.296608604665477,23.07626023265834,4.296716316858497,30.07701421800948,1.397904228472949,9.785329599310645,-0.4999999999999997,-0.8660254037844388,2021-07-23 11:30:00,19.41904761904762,0.24942261904761903,4.2128571428571435,23.34,19.032738095238095,15.349999999999998,15.498809523809525,13.101190476190478,0.3203690476190476,0.35010714285714284,0.3256428571428572,0.3298452380952381,4.008571428571429,2.275714285714286,3.274285714285714,2.3985714285714286,22.657142857142855,13.231428571428571,19.99285714285714,15.070000000000002
HSE Dublin and Midlands,2021-08-02,3.247638025481628,22.7334661783714,0.0,1.0,1.0,1.0,4.0,0.6215085862005293,4.350560103403705,0.0219240475164645,0.153468332615252,3.296608604665477,23.07626023265834,4.296716316858497,30.07701421800948,-0.8660254037844385,-0.5000000000000004,2021-07-30 11:30:00,14.132142857142856,0.3446190476190476,2.0242857142857145,12.044285714285715,19.41904761904762,19.032738095238095,15.349999999999998,15.498809523809525,0.24942261904761903,0.3203690476190476,0.35010714285714284,0.3256428571428572,4.2128571428571435,4.008571428571429,2.275714285714286,3.274285714285714,23.34,22.657142857142855,13.231428571428571,19.99285714285714
